correct_rate,color,reaction_time
1,G,1.291498442
0.916666667,G,1.626218901
1,G,0.9419767
1,G,1.120038263
1,G,1.223354346
1,G,1.062069117
1,G,1.205594546
1,G,1.018665888
1,G,1.128029471
1,G,1.413268083
0.958333333,G,1.268529042
1,G,1.224232929
1,G,0.925981763
1,G,1.325408625
0.958333333,G,1.045052846
1,G,1.20536655
0.958333333,G,1.320729621
1,G,1.201114
0.958333333,G,0.984357833
1,G,2.271206
1,G,0.883645267
1,G,1.150112083
1,O,1.293087417
0.958333333,O,1.663184167
1,O,0.869861392
1,O,1.153946825
1,O,1.310607383
1,O,0.950836413
1,O,1.108703383
0.958333333,O,1.080095304
1,O,1.174047504
1,O,1.4275235
1,O,1.269993338
1,O,1.174420792
1,O,0.986902121
1,O,1.331777125
1,O,1.152657413
0.916666667,O,1.258022167
1,O,1.267832875
0.916666667,O,1.390796942
1,O,1.049046679
0.875,O,2.143615708
1,O,0.863801838
1,O,1.147784063
1,P,1.123438146
1,P,1.108303354
1,P,1.059513617
0.958333333,P,1.213962125
1,P,1.886536708
1,P,1.329664042
1,P,1.165906833
1,P,1.079845721
1,P,0.970748846
1,P,1.258491117
1,P,1.069204129
1,P,1.099755038
1,P,0.820274663
0.916666667,P,1.166278929
1,P,1.568981625
1,P,1.133218246
1,P,1.448294083
0.958333333,P,1.161798863
0.833333333,P,1.031148525
0.916666667,P,1.258862813
1,P,1.310559792
1,P,1.216881529
1,P,1.319069083
0.958333333,P,1.121656371
0.958333333,Y,1.126339942
1,Y,1.2016395
1,Y,1.089971142
0.916666667,Y,1.115481813
0.916666667,Y,1.764585917
1,Y,1.283307921
0.875,Y,1.184182333
1,Y,1.527904538
1,Y,0.998604633
1,Y,1.205794921
1,Y,1.064906875
1,Y,1.143064846
1,Y,0.864119804
1,Y,1.134536763
0.958333333,Y,1.298009583
1,Y,1.018587792
1,Y,1.436714667
0.958333333,Y,1.100823292
1,Y,0.979506158
1,Y,1.115993304
1,Y,1.185144971
1,Y,1.195906246
1,Y,1.200267121
1,Y,1.160046442
